City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Weather Description
148,zhezqazghan,47.7833,67.7667,-1.68,93,40,5.0,KZ,scattered clouds
149,mount gambier,-37.8333,140.7667,19.64,54,27,4.08,AU,scattered clouds
150,port mathurin,-19.6833,63.4167,24.25,73,5,2.43,MU,clear sky
151,plymouth,41.8334,-70.8328,7.59,68,4,3.84,US,clear sky
152,baxter,46.3433,-94.2867,-10.82,64,100,6.69,US,overcast clouds
153,diplo,24.4667,69.584,18.7,56,0,3.95,PK,clear sky
154,norrtalje,59.758,18.705,-5.09,77,100,5.57,SE,overcast clouds
155,keflavik,64.0049,-22.5624,3.24,87,100,2.06,IS,overcast clouds
156,parabel',58.6978,81.4825,-13.38,97,97,2.68,RU,overcast clouds
157,qamdo,31.1667,97.2333,-4.77,32,100,2.35,CN,overcast clouds
158,bikenibeu village,1.3673,173.1241,30.98,74,40,3.09,KI,scattered clouds
159,aripuana,-9.1667,-60.6333,25.85,66,25,1.02,BR,scattered clouds
160,bialystok,53.1333,23.15,-6.69,93,75,0.45,PL,broken clouds
161,cooma,-36.2333,149.1333,17.16,72,100,3.59,AU,overcast clouds
162,ribeira grande,38.5167,-28.7,17.65,94,100,1.34,PT,overcast clouds
163,porto santo stefano,42.4338,11.1237,9.79,70,76,2.32,IT,broken clouds
164,lakatoro,-16.0999,167.4164,28.93,70,94,4.44,VU,overcast clouds
165,kangding,30.0513,101.9603,8.71,35,43,2.86,CN,scattered clouds
166,north battleford,52.7834,-108.2847,-1.95,80,0,4.12,CA,clear sky
167,cusseta,32.3054,-84.7727,7.36,65,98,3.16,US,overcast clouds
168,tual,-5.6667,132.75,28.37,75,73,1.6,ID,broken clouds
169,dolinsk,47.35,142.8,-2.93,93,100,3.17,RU,light snow
170,ushuaia,-54.8,-68.3,10.81,54,0,5.14,AR,clear sky
171,ceeldheer,3.8488,47.1806,26.6,80,99,3.92,SO,light rain
172,laojunmiao,39.8333,97.7333,-1.01,34,100,0.76,CN,overcast clouds
173,djibouti,11.5,42.5,21.73,72,9,3.51,DJ,clear sky
174,vadso,70.0744,29.7487,-0.91,93,75,5.66,NO,broken clouds
175,antalaha,-14.9003,50.2788,21.25,89,91,2.37,MG,overcast clouds
176,vuokatti,64.146,28.2697,-9.08,85,100,7.76,FI,light snow
177,usogorsk,63.4106,48.6872,-5.82,93,100,5.64,RU,overcast clouds
178,redwood falls,44.5394,-95.1169,-10.03,73,0,3.6,US,clear sky
179,nagqu,31.5,92.0,-6.84,48,100,1.52,CN,overcast clouds
180,gordonvale,-17.0936,145.7842,33.28,75,85,1.69,AU,overcast clouds
181,norilsk,69.3535,88.2027,-22.56,97,98,2.8,RU,overcast clouds
182,cabedelo,-6.9811,-34.8339,26.37,84,33,5.73,BR,scattered clouds
183,ubari,26.5921,12.7805,14.08,39,7,3.15,LY,clear sky
184,bodden town,19.2833,-81.25,28.0,83,20,4.12,KY,few clouds
185,broken hill,-31.95,141.4333,25.51,51,52,10.13,AU,broken clouds
186,akjoujt,19.6969,-14.4164,21.47,17,94,3.57,MR,overcast clouds
187,bubaque,11.2833,-15.8333,27.41,70,5,6.23,GW,clear sky
188,nova sintra,14.8667,-24.7167,22.46,64,27,1.52,CV,scattered clouds
189,zhalantun,48.0,122.7167,-19.01,80,13,3.1,CN,few clouds
190,iskateley,67.6803,53.1512,-19.6,99,100,1.31,RU,overcast clouds
191,murun-kuren,49.6342,100.1625,-15.83,93,13,1.56,MN,few clouds
192,egilsstadir,65.2653,-14.3948,3.95,75,0,6.17,IS,clear sky
193,praia da vitoria,38.7333,-27.0667,17.64,94,75,2.33,PT,broken clouds
194,whakatane,-37.9585,176.9854,20.28,79,91,1.34,NZ,overcast clouds
195,remire-montjoly,4.9167,-52.2667,27.02,83,40,0.0,GF,scattered clouds
196,erumaippatti,11.1667,78.2833,22.49,93,59,0.98,IN,broken clouds
197,krasnoturansk,54.3186,91.5639,-14.87,100,82,1.79,RU,broken clouds
198,shaowu,27.3409,117.4831,15.2,66,0,0.89,CN,clear sky
199,douglas,41.3,-96.167,-0.81,67,40,3.6,US,scattered clouds
200,altamira,-3.2033,-52.2064,25.69,76,90,1.0,BR,overcast clouds
201,port shepstone,-30.7414,30.455,21.72,85,99,1.81,ZA,overcast clouds
202,kaka,37.3482,59.6143,16.61,32,0,2.19,TM,clear sky
203,krasnyy chikoy,50.3643,108.7512,-14.15,88,100,5.04,RU,overcast clouds
